content,score,at,token,lemmatized,topic,factor_label
memasang ingin apply tapi bahkan tidak bisa alasannya tidak terdapat jaringan anehnya youtube saja bisa giliran apply tidak bisa haaddeehh,2,2022-08-23 14:21:11,"['memasang', 'apply', 'alasannya', 'jaringan', 'anehnya', 'youtube', 'giliran', 'apply', 'haaddeehh']",pasang apply alas jaring aneh youtube gilir apply haaddeehh,-1,Outlier
bank digital paling bagus daftar juga cepat tidak sampai 5 menit kelar dan fitur juga lengkap dan ada pokok joss ini aplikasi,5,2024-05-20 12:52:34,"['bank', 'digital', 'bagus', 'daftar', 'cepat', '5', 'menit', 'kelar', 'fitur', 'lengkap', 'pokok', 'joss', 'aplikasi']",bank digital bagus daftar cepat 5 menit kelar fitur lengkap pokok joss aplikasi,-1,Outlier
dari awal daftar tapi dana instan tidak tersedia sudah coba tingkatkan tapi masih saja tidak ada unk dana instan juga tidak naik limit tolong di lihat juga dari brpa lama orang menggunakan aplikasi jadi bisa di tingkatkan lagi kedepannya pengguna baru limit dapat jt belum dana instan ini kok tidak ada perubahan masih 5 saja limit dan dana instan tidak tersedia padahal gaji menggunakan allobank,1,2024-04-17 14:00:17,"['daftar', 'dana', 'instan', 'tersedia', 'coba', 'tingkatkan', 'unk', 'dana', 'instan', 'limit', 'tolong', 'lihat', 'brpa', 'orang', 'aplikasi', 'tingkatkan', 'kedepannya', 'pengguna', 'limit', 'jt', 'dana', 'instan', 'perubahan', '5', 'limit', 'dana', 'instan', 'tersedia', 'gaji', 'allobank']",daftar dana instan sedia coba tingkat unk dana instan limit tolong lihat brpa orang aplikasi tingkat depan guna limit jt dana instan ubah 5 limit dana instan sedia gaji allobank,-1,Outlier
untuk pengajuan sulit padahal data sudah lengkap ngajuin juga karena dapat sms dari pihak bank hari ini saya uninstall aplikasi bank tolong data saya jangan di salah gunakan,1,2024-06-22 12:42:50,"['pengajuan', 'sulit', 'data', 'lengkap', 'ngajuin', 'sms', 'bank', 'uninstall', 'aplikasi', 'bank', 'tolong', 'data', 'salah']",aju sulit data lengkap ngajuin sms bank uninstall aplikasi bank tolong data salah,9_data hapus_hapus data_data disalahgunakan_tolak data,FAC_4
ini bank kenapa ya kok sekarang sudah tidak bisa dipakai lagi atau tidak bisa login padahal saya sering bertransaksi pakai bank untuk membayar angsuran cicilan tolong di perbaiki secepatnya 1 lagi permintaan dari saya tolong dong segera agar bisa di gunakan,1,2023-04-26 0:06:24,"['bank', 'ya', 'dipakai', 'login', 'bertransaksi', 'pakai', 'bank', 'membayar', 'angsuran', 'cicilan', 'tolong', 'perbaiki', 'secepatnya', '1', 'permintaan', 'tolong']",bank ya pakai login transaksi pakai bank bayar angsur cicil tolong baik cepat 1 minta tolong,6_cicil bayar_bayar cicil_cicil lunas_ngikutin bayar,FAC_8
ini maksudnya apa ya saya baru daftar sesuai aturan yang ada kenapa tiba ketika saya mengajukan langsung tidak bisa padahal saya mengisi sesuai aturan tolong hapus data saya atau saya laporkan ke polisi kantor pusat andaa,1,2024-04-20 21:30:58,"['maksudnya', 'ya', 'daftar', 'sesuai', 'aturan', 'mengajukan', 'langsung', 'mengisi', 'sesuai', 'aturan', 'tolong', 'hapus', 'data', 'laporkan', 'polisi', 'kantor', 'pusat', 'andaa']",maksud ya daftar sesuai atur aju langsung isi sesuai atur tolong hapus data lapor polisi kantor pusat andaa,9_data hapus_hapus data_data disalahgunakan_tolak data,FAC_4
aplikasi nya membantu banget deh mudah banget transaksi disini tidak pakai rumit di tambah tanpa biaya admin dan transaksi nya juga cepat fitur nya lengkap dan bank punya yang aman,5,2024-06-14 5:19:33,"['aplikasi', 'nya', 'membantu', 'banget', 'deh', 'mudah', 'banget', 'transaksi', 'pakai', 'rumit', 'biaya', 'admin', 'transaksi', 'nya', 'cepat', 'fitur', 'nya', 'lengkap', 'bank', 'aman']",aplikasi nya bantu banget deh mudah banget transaksi pakai rumit biaya admin transaksi nya cepat fitur nya lengkap bank aman,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
bank adalah bank digital dan dompet digital dengan fitur dan instan tunai registrasi yang sangat mudah hanya dengan 5 menit untuk mendaftar secara daring dan bebas biaya admin dan masih banyak lagi kemudahan yang di tawarkan,5,2022-09-25 0:31:06,"['bank', 'bank', 'digital', 'dompet', 'digital', 'fitur', 'instan', 'tunai', 'registrasi', 'mudah', '5', 'menit', 'mendaftar', 'daring', 'bebas', 'biaya', 'admin', 'kemudahan', 'tawarkan']",bank bank digital dompet digital fitur instan tunai registrasi mudah 5 menit daftar daring bebas biaya admin mudah tawar,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
sangat mudah dipakainya untuk sehari hari karena fitur nya lengkap gampang dan tanpa biaya admin ada juga lengkap,5,2024-05-16 9:53:37,"['mudah', 'dipakainya', 'sehari', 'fitur', 'nya', 'lengkap', 'gampang', 'biaya', 'admin', 'lengkap']",mudah pakai hari fitur nya lengkap gampang biaya admin lengkap,5_gratis transfer_aman gratis_transfer gratis_ojk gratis,FAC_1
banyak fitur perbankan ada di sini mulai dari saving deposit instan tunai pinjaman pembayaran wris top up dan melakukan tunai out untuk ambil uang tunai meski ini bank digital pokoknya membantu sekali tinggal klik langsung beres sukses selalu bank,5,2024-05-10 12:32:02,"['fitur', 'perbankan', 'saving', 'deposit', 'instan', 'tunai', 'pinjaman', 'pembayaran', 'wris', 'top', 'up', 'tunai', 'out', 'ambil', 'uang', 'tunai', 'bank', 'digital', 'pokoknya', 'membantu', 'tinggal', 'klik', 'langsung', 'beres', 'sukses', 'bank']",fitur bank saving deposit instan tunai pinjam bayar wris top up tunai out ambil uang tunai bank digital pokok bantu tinggal klik langsung beres sukses bank,-1,Outlier
jelek nawarin buka akun dikasih limit sudah tertulis katanya tunggu verifikasi 3 menit tapi hasilnya akun dibekukan apa ini baru saja buka jwbn dibekukan tolong konfirmasinya,1,2024-05-29 4:30:48,"['jelek', 'nawarin', 'buka', 'akun', 'dikasih', 'limit', 'tertulis', 'tunggu', 'verifikasi', '3', 'menit', 'hasilnya', 'akun', 'dibekukan', 'buka', 'jwbn', 'dibekukan', 'tolong', 'konfirmasinya']",jelek nawarin buka akun kasih limit tulis tunggu verifikasi 3 menit hasil akun beku buka jwbn beku tolong konfirmasi,2_telpon layan_spam sms_telepon_telpon,FAC_10
aplikasi bagus ada promo di beberapa store lumayan juga diskon dan untuk transfer juga bisa pilih opsi bi fast gratis admin real time bisa mengajukan juga,5,2022-07-08 15:55:23,"['aplikasi', 'bagus', 'promo', 'store', 'lumayan', 'diskon', 'transfer', 'pilih', 'opsi', 'bi', 'fast', 'gratis', 'admin', 'real', 'time', 'mengajukan']",aplikasi bagus promo store lumayan diskon transfer pilih opsi bi fast gratis admin real time aju,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
kepada pihak bank saya mohon hapus data saya karena pengajuan saya ditolak dan setelah ditolak saya tidak bisa lagi login ke sekali lagi tolong hapus data saya,1,2024-06-20 8:14:21,"['bank', 'mohon', 'hapus', 'data', 'pengajuan', 'ditolak', 'ditolak', 'login', 'tolong', 'hapus', 'data']",bank mohon hapus data aju tolak tolak login tolong hapus data,9_data hapus_hapus data_data disalahgunakan_tolak data,FAC_4
tlg hapus data saya karena saya tidak di setujui daftar niat saya mau buka rekening juga tapi tidak di setujui hari ini tanggal 6 maret 4 saya telah log out dari aplikasi ini dan sudah saya hapus instalan aplikasi maaf saya kasih bintang 1 terima kasih,1,2024-03-06 4:27:29,"['tlg', 'hapus', 'data', 'setujui', 'daftar', 'niat', 'buka', 'rekening', 'setujui', 'tanggal', '6', 'maret', '4', 'log', 'out', 'aplikasi', 'hapus', 'instalan', 'aplikasi', 'maaf', 'kasih', 'bintang', '1', 'terima', 'kasih']",tlg hapus data tuju daftar niat buka rekening tuju tanggal 6 maret 4 log out aplikasi hapus instalan aplikasi maaf kasih bintang 1 terima kasih,9_data hapus_hapus data_data disalahgunakan_tolak data,FAC_4
sangat aplikasi yang memberikan kemudahan menabung dan bertransaksi langsung lewat ponsel kamu solusi cepat sebuah bank digital dan dompet digital dengan fitur dan instan tunai dalam satu genggaman mau,5,2023-04-18 15:27:10,"['aplikasi', 'kemudahan', 'menabung', 'bertransaksi', 'langsung', 'ponsel', 'solusi', 'cepat', 'bank', 'digital', 'dompet', 'digital', 'fitur', 'instan', 'tunai', 'genggaman']",aplikasi mudah tabung transaksi langsung ponsel solusi cepat bank digital dompet digital fitur instan tunai genggam,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
sebenarnya suka pakai bank karena top up gampang transfer ke bank lain juga gratis pakai bi fast ada yang bisa ditarik ke dana instan dahulu parkir di transmart trans icon mall cuma bayar rp 1 bisa pakai mpc point tapi sekarang cashback 5 ke mpc point bayarnya harus pakai saldo harus scan tiket parkir setelah masuk sudah scan tiket parkir setelah masuk tiap kali keluar petugas posnya selalu bilang pembayaran belum masuk ujungnya terpaksa bayar full pakai tunai,2,2023-12-23 16:47:40,"['suka', 'pakai', 'bank', 'top', 'up', 'gampang', 'transfer', 'bank', 'gratis', 'pakai', 'bi', 'fast', 'ditarik', 'dana', 'instan', 'parkir', 'transmart', 'trans', 'icon', 'mall', 'bayar', 'rp', '1', 'pakai', 'mpc', 'point', 'cashback', '5', 'mpc', 'point', 'bayarnya', 'pakai', 'saldo', 'scan', 'tiket', 'parkir', 'masuk', 'scan', 'tiket', 'parkir', 'masuk', 'kali', 'petugas', 'posnya', 'bilang', 'pembayaran', 'masuk', 'ujungnya', 'terpaksa', 'bayar', 'full', 'pakai', 'tunai']",suka pakai bank top up gampang transfer bank gratis pakai bi fast tarik dana instan parkir transmart trans icon mall bayar rp 1 pakai mpc point cashback 5 mpc point bayar pakai saldo scan tiket parkir masuk scan tiket parkir masuk kali tugas pos bilang bayar masuk ujung paksa bayar full pakai tunai,-1,Outlier
kok tidak bisa digunakan setelah klik tombol gunakan di layar handphone hanya loading lama lalu layar putih semua kenapa dan saya sering dapat whatsapp dengan isi tawaran untuk gunakan nya,1,2022-11-04 2:15:11,"['klik', 'tombol', 'layar', 'handphone', 'loading', 'layar', 'putih', 'whatsapp', 'isi', 'tawaran', 'nya']",klik tombol layar handphone loading layar putih whatsapp isi tawar nya,-1,Outlier
saya pengguna aktiv sudah lama fitur bagus cuman sayang fitur dan dana instan sulit untuk di terbuka terlalu rumit kalau harus sering menggunakan transaksi pakai qriss semoga kedepan lebih di permudah untuk fitur tersebut biar lebih nyaman bagi pengguna setianya,5,2022-11-19 1:54:26,"['pengguna', 'aktiv', 'fitur', 'bagus', 'cuman', 'sayang', 'fitur', 'dana', 'instan', 'sulit', 'terbuka', 'rumit', 'transaksi', 'pakai', 'qriss', 'semoga', 'kedepan', 'permudah', 'fitur', 'biar', 'nyaman', 'pengguna', 'setianya']",guna aktiv fitur bagus cuman sayang fitur dana instan sulit buka rumit transaksi pakai qriss moga depan mudah fitur biar nyaman guna setia,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
mudah untuk pembuatan akun ada juga apalagi ada dana instan yang limitnya lumayan membantu tapi pengambilan dana instan kini sudah punya potongan yang lumayan besar saya tidak jadi tawarin ke anggota keluarga yang lain karena mereka banyak yang pakai shoope yang potongannya tidak terlalu besar,5,2023-11-04 9:05:34,"['mudah', 'pembuatan', 'akun', 'dana', 'instan', 'limitnya', 'lumayan', 'membantu', 'pengambilan', 'dana', 'instan', 'potongan', 'lumayan', 'tawarin', 'anggota', 'keluarga', 'pakai', 'shoope', 'potongannya']",mudah buat akun dana instan limit lumayan bantu ambil dana instan potong lumayan tawarin anggota keluarga pakai shoope potong,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
untuk yang tidak mau rumit transfer antar bank juga mudah registrasi mudah keuntungan berbelanja pakai sangat banyak dan bisa langsung dapat paylater,5,2023-10-31 8:13:13,"['rumit', 'transfer', 'bank', 'mudah', 'registrasi', 'mudah', 'keuntungan', 'berbelanja', 'pakai', 'langsung', 'paylater']",rumit transfer bank mudah registrasi mudah untung belanja pakai langsung paylater,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
tidak simpel ada gampang digunakan bisa menabung yang aman digunakan untuk kelancaran pembayaran dan dapat diskon 1 belanja di transmart,5,2023-11-03 13:12:46,"['simpel', 'gampang', 'menabung', 'aman', 'kelancaran', 'pembayaran', 'diskon', '1', 'belanja', 'transmart']",simpel gampang tabung aman lancar bayar diskon 1 belanja transmart,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
di telpon suruh daftar pas daftar bahkan di tolak aplikasi gaje kecewa banget,1,2024-08-14 3:34:55,"['telpon', 'suruh', 'daftar', 'pas', 'daftar', 'tolak', 'aplikasi', 'gaje', 'kecewa', 'banget']",telpon suruh daftar pas daftar tolak aplikasi gaje kecewa banget,-1,Outlier
baru pertama kali pakai bank sih tapi lihat semua ulasan semua orang jadi takut sendiri juga kenapa bisa begitu semua pada komplent banyak hal bukannya buat untung karena bisa transfer dan lain tetapi justru mana komplent di mana mana saya coba minjem pakai juga tidak di terima sudah kali di tolak terus,1,2024-01-12 12:41:12,"['kali', 'pakai', 'bank', 'sih', 'lihat', 'ulasan', 'orang', 'takut', 'komplent', 'untung', 'transfer', 'komplent', 'coba', 'minjem', 'pakai', 'terima', 'kali', 'tolak']",kali pakai bank sih lihat ulas orang takut komplent untung transfer komplent coba minjem pakai terima kali tolak,-1,Outlier
berapa hari ya cashback point masuk saya belanja di transmart pakai katanya dapat tunai back 5 tapi sampai sekarang sudah mingguan tidak ada masuk juga cashbacknya kalau memang tidak dapat tidak usah promo deh,1,2023-09-21 7:49:41,"['ya', 'cashback', 'point', 'masuk', 'belanja', 'transmart', 'pakai', 'tunai', 'back', '5', 'mingguan', 'masuk', 'cashbacknya', 'promo', 'deh']",ya cashback point masuk belanja transmart pakai tunai back 5 minggu masuk cashbacknya promo deh,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
memberikan kemudahan menabung dan bertransaksi langsung lewat ponsel dengan fitur dan instan tunai aman nyaman belanja di transmart lebih banyak duscont mantap pokok ya pakai allobnk,5,2024-01-20 8:23:42,"['kemudahan', 'menabung', 'bertransaksi', 'langsung', 'ponsel', 'fitur', 'instan', 'tunai', 'aman', 'nyaman', 'belanja', 'transmart', 'duscont', 'mantap', 'pokok', 'ya', 'pakai', 'allobnk']",mudah tabung transaksi langsung ponsel fitur instan tunai aman nyaman belanja transmart duscont mantap pokok ya pakai allobnk,-1,Outlier
mengajukan tapi mentok di foto ktp sudah di coba foto berulang tetap tidak bisa sudh coba di unduh ulang aplikasi nya tetap saja seperti itu sudah di upgrade juga kendalanya apa ya terima kasih,2,2023-12-21 20:40:30,"['mengajukan', 'mentok', 'foto', 'ktp', 'coba', 'foto', 'berulang', 'sudh', 'coba', 'unduh', 'ulang', 'aplikasi', 'nya', 'upgrade', 'kendalanya', 'ya', 'terima', 'kasih']",aju mentok foto ktp coba foto ulang sudh coba unduh ulang aplikasi nya upgrade kendala ya terima kasih,18_ktp gagal_foto ktp_ktp pakai_ktpnya daftar,FAC_5
bank sangat membantu mudah digunakan transaksi jadi lancar biaya transfer nihil dan dapat poin dan banyak benefit lain seperti dapat diskon saat belanja menggunakan prime dan yang sangat membantu tidak perlu bawa uang tunai lagi mempermudah transaksi transfer mudah dan gratis belanja di metro dengan dapat potongan 5 dan banyak benefit lainnya,5,2024-01-20 5:30:36,"['bank', 'membantu', 'mudah', 'transaksi', 'lancar', 'biaya', 'transfer', 'nihil', 'poin', 'benefit', 'diskon', 'belanja', 'prime', 'membantu', 'bawa', 'uang', 'tunai', 'mempermudah', 'transaksi', 'transfer', 'mudah', 'gratis', 'belanja', 'metro', 'potongan', '5', 'benefit']",bank bantu mudah transaksi lancar biaya transfer nihil poin benefit diskon belanja prime bantu bawa uang tunai mudah transaksi transfer mudah gratis belanja metro potong 5 benefit,-1,Outlier
bnk sangat bermanfaat karena memiliki layanan yang beragam mulai dari tabungan dan deposito sampi semua ada di satu aplikasi nya transfer kemana saja gratis,5,2023-11-03 13:38:18,"['bnk', 'bermanfaat', 'memiliki', 'layanan', 'beragam', 'tabungan', 'deposito', 'sampi', 'aplikasi', 'nya', 'transfer', 'kemana', 'gratis']",bnk manfaat milik layan agam tabung deposito sampi aplikasi nya transfer mana gratis,-1,Outlier
pakai bank transfer ke bank mana pun bebas biaya admint keamanan terjamin banyak promo nya cashback dan poinnya ditambah ada komplet deh dalam satu aplikasi,5,2023-10-31 6:08:26,"['pakai', 'bank', 'transfer', 'bank', 'bebas', 'biaya', 'admint', 'keamanan', 'terjamin', 'promo', 'nya', 'cashback', 'poinnya', 'ditambah', 'komplet', 'deh', 'aplikasi']",pakai bank transfer bank bebas biaya admint aman jamin promo nya cashback poin tambah komplet deh aplikasi,5_gratis transfer_aman gratis_transfer gratis_ojk gratis,FAC_1
transfer dari livin mandiri pakai bi fast tanggal 7 agustus sukses tapi masuk rekning baru tanggal 8 kok delay ya pdhal bi fast real time karena saya pengguna cc bank mega jadi mngkin dapat sms limit sudah pasti disetujui jadi saya coba unduh dan regsitrasi juga tapi setelah berhasil diaplikasi keterangannya tetap lakukan transaksi biar bisa terbuka fitur laternya sampah sms scam,1,2022-08-28 4:02:31,"['transfer', 'livin', 'mandiri', 'pakai', 'bi', 'fast', 'tanggal', '7', 'agustus', 'sukses', 'masuk', 'rekning', 'tanggal', '8', 'delay', 'ya', 'pdhal', 'bi', 'fast', 'real', 'time', 'pengguna', 'cc', 'bank', 'mega', 'mngkin', 'sms', 'limit', 'disetujui', 'coba', 'unduh', 'regsitrasi', 'berhasil', 'diaplikasi', 'keterangannya', 'lakukan', 'transaksi', 'biar', 'terbuka', 'fitur', 'laternya', 'sampah', 'sms', 'scam']",transfer livin mandiri pakai bi fast tanggal 7 agustus sukses masuk rekning tanggal 8 delay ya pdhal bi fast real time guna cc bank mega mngkin sms limit tuju coba unduh regsitrasi hasil aplikasi terang laku transaksi biar buka fitur laternya sampah sms scam,-1,Outlier
yang akan membantu anda memenuhi semua kebutuhan anda halo kini bank untuk android hadir yang melengkapimu sebuah bank digital dan dompet digital dengan fitur dan instan tunai registrasi yang mudah hanya dengan 5 menit untuk mendaftar secara daring bebas biaya admin tidak ada biaya admin bulanan setoran awal minimum saldo minimum serta gratis biaya transfer ke bank lain menggunakan fitur bi fast bunga yang menarik sesuaikan kebutuhanmu dengan produk tabunga,5,2023-10-12 4:54:31,"['membantu', 'memenuhi', 'kebutuhan', 'halo', 'bank', 'android', 'hadir', 'melengkapimu', 'bank', 'digital', 'dompet', 'digital', 'fitur', 'instan', 'tunai', 'registrasi', 'mudah', '5', 'menit', 'mendaftar', 'daring', 'bebas', 'biaya', 'admin', 'biaya', 'admin', 'bulanan', 'setoran', 'minimum', 'saldo', 'minimum', 'gratis', 'biaya', 'transfer', 'bank', 'fitur', 'bi', 'fast', 'bunga', 'menarik', 'sesuaikan', 'kebutuhanmu', 'produk', 'tabunga']",bantu penuh butuh halo bank android hadir lengkap bank digital dompet digital fitur instan tunai registrasi mudah 5 menit daftar daring bebas biaya admin biaya admin bulan setor minimum saldo minimum gratis biaya transfer bank fitur bi fast bunga tarik sesuai butuh produk tabunga,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
belanja di transmart pakai bank banyak diskon mulai dari 1 sampai apa lagi semakin banyak kita transaksi langsung dapat sangat menguntunglan belanja pakai bank,5,2023-11-03 16:21:27,"['belanja', 'transmart', 'pakai', 'bank', 'diskon', '1', 'transaksi', 'langsung', 'menguntunglan', 'belanja', 'pakai', 'bank']",belanja transmart pakai bank diskon 1 transaksi langsung menguntunglan belanja pakai bank,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
bantu banget nih transfer gratis all bank realtime notifikasi transaksinya sudah begitu transaksi dapat diskon up to 1 dimerchant ct corp ditambah jika diaktifkan bisa tambahan diskon dan dapat poin rekomendasi pokoknya,5,2023-10-31 6:03:19,"['bantu', 'banget', 'nih', 'transfer', 'gratis', 'all', 'bank', 'realtime', 'notifikasi', 'transaksinya', 'transaksi', 'diskon', 'up', 'to', '1', 'dimerchant', 'ct', 'corp', 'ditambah', 'diaktifkan', 'tambahan', 'diskon', 'poin', 'rekomendasi', 'pokoknya']",bantu banget nih transfer gratis all bank realtime notifikasi transaksi transaksi diskon up to 1 dimerchant ct corp tambah aktif tambah diskon poin rekomendasi pokok,-1,Outlier
sumpah bad banget awalnya dikasih limit habis itu limitnya hilang begitu saja diajukan penutup akun masa disuruh tunggu lama sementara nelpon pelayanan pelanggan pakai pulsa bukan pakai paket telepon woyy harusnya tidak nyuruh nasabah buat tunggu pokoknya ini paling buruk sejagad yang pernah ada,1,2023-07-25 4:40:33,"['sumpah', 'bad', 'banget', 'dikasih', 'limit', 'habis', 'limitnya', 'hilang', 'diajukan', 'penutup', 'akun', 'disuruh', 'tunggu', 'nelpon', 'pelayanan', 'pelanggan', 'pakai', 'pulsa', 'pakai', 'paket', 'telepon', 'woyy', 'nyuruh', 'nasabah', 'tunggu', 'pokoknya', 'buruk', 'sejagad']",sumpah bad banget kasih limit habis limit hilang aju tutup akun suruh tunggu nelpon layan langgan pakai pulsa pakai paket telepon woyy nyuruh nasabah tunggu pokok buruk sejagad,-1,Outlier
gila banget bank parah biaya keterlambatan 3 per hari saya terlambat 1 hari di kira 1 atau ribu keterlambatan karena cuma 1 hari dari tanggal jatuh tempo ternyata di kenakan 3 dari semua tagihan di hitung dari tanggal cetak tagihan baru tahu dan di informasi tidak ada hanya 3 per hari sudah biaya admit atau bunga 5 per bulan tolong ojk di kaji lagi kebijakan bank ini lain tidak seperti ini kayak rentenir digital,1,2023-08-21 3:05:54,"['gila', 'banget', 'bank', 'parah', 'biaya', 'keterlambatan', '3', 'terlambat', '1', '1', 'ribu', 'keterlambatan', '1', 'tanggal', 'jatuh', 'tempo', 'kenakan', '3', 'tagihan', 'hitung', 'tanggal', 'cetak', 'tagihan', 'informasi', '3', 'biaya', 'admit', 'bunga', '5', 'tolong', 'ojk', 'kaji', 'kebijakan', 'bank', 'kayak', 'rentenir', 'digital']",gila banget bank parah biaya lambat 3 lambat 1 1 ribu lambat 1 tanggal jatuh tempo kena 3 tagih hitung tanggal cetak tagih informasi 3 biaya admit bunga 5 tolong ojk kaji bijak bank kayak rentenir digital,16_denda 5rb_denda ribu_denda lambat_lambat denda,FAC_10
sangat membantu sekali sih bank dengan fitur yang bagus dan baik aplikasi dompet digital dengan fitur dan instan tunai terbaik ini aplikasi,5,2022-09-25 6:18:51,"['membantu', 'sih', 'bank', 'fitur', 'bagus', 'aplikasi', 'dompet', 'digital', 'fitur', 'instan', 'tunai', 'terbaik', 'aplikasi']",bantu sih bank fitur bagus aplikasi dompet digital fitur instan tunai baik aplikasi,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi,FAC_7
wow ini rekomendasi sangat bermanfaat bisa dapat uang bisa dapat diskon persen belanja di transmart bisa berbunga dan bermanfaat memudahkan sebagai alat pembayaran,5,2023-11-03 1:07:44,"['wow', 'rekomendasi', 'bermanfaat', 'uang', 'diskon', 'persen', 'belanja', 'transmart', 'berbunga', 'bermanfaat', 'memudahkan', 'alat', 'pembayaran']",wow rekomendasi manfaat uang diskon persen belanja transmart bunga manfaat mudah alat bayar,-1,Outlier
otomatis uninstall promo tidak sesuai katanya ada nyatanya transaksi dahulu sampai berapa baca berita banyak bug dan iklan harusnya di ujicoba dahulu seblum tampil ke publik iklan bonafit banyk artis di tv tapi kayak apa begitu tidak ada yang seperti tanpa pilih sesuai iklan ada tanpa transaksi sudah muncul 5 rbu,1,2022-07-15 19:26:15,"['otomatis', 'uninstall', 'promo', 'sesuai', 'transaksi', 'baca', 'berita', 'bug', 'iklan', 'ujicoba', 'seblum', 'tampil', 'publik', 'iklan', 'bonafit', 'banyk', 'artis', 'tv', 'kayak', 'pilih', 'sesuai', 'iklan', 'transaksi', 'muncul', '5', 'rbu']",otomatis uninstall promo sesuai transaksi baca berita bug iklan ujicoba seblum tampil publik iklan bonafit banyk artis tv kayak pilih sesuai iklan transaksi muncul 5 rbu,20_bayar iklan_iklan limit_iklan hilang_lunas iklan,FAC_10
keuangan yang bagus ada fitur yng bisa di cairkan dengan dana instan limitnya juga besar dan bisa dapat keuntungan dengan hanya menabung mantap pokoknya,5,2024-01-20 6:38:43,"['keuangan', 'bagus', 'fitur', 'yng', 'cairkan', 'dana', 'instan', 'limitnya', 'keuntungan', 'menabung', 'mantap', 'pokoknya']",uang bagus fitur yng cair dana instan limit untung tabung mantap pokok,-1,Outlier
harus sering bertransaksi dahulu supaya pengajuan kita di setujui walaupun slik ojk kita lancar tapi itu tidak menjadikan jaminan pengajuan kita di acc,1,2023-09-02 8:54:27,"['bertransaksi', 'pengajuan', 'setujui', 'slik', 'ojk', 'lancar', 'menjadikan', 'jaminan', 'pengajuan', 'acc']",transaksi aju tuju slik ojk lancar jadi jamin aju acc,-1,Outlier
bank sangatlah bagus dan sangatlah membantu transfer tanpa admin limit besar dan bisa di pakai untuk berbelanja apapun dan dimanapun melalui qris,5,2022-08-13 10:51:52,"['bank', 'bagus', 'membantu', 'transfer', 'admin', 'limit', 'pakai', 'berbelanja', 'apapun', 'dimanapun', 'qris']",bank bagus bantu transfer admin limit pakai belanja apa mana qris,-1,Outlier
aplikasi bagus banget simpel cara login aplikasi mudah di pahami banyak promo diskon juga dan transfer ke bank manapun nomor biaya admin limid 1 jt buruan unduh gays pokoknya bagus banget appnya,5,2023-11-04 8:32:14,"['aplikasi', 'bagus', 'banget', 'simpel', 'login', 'aplikasi', 'mudah', 'pahami', 'promo', 'diskon', 'transfer', 'bank', 'manapun', 'nomor', 'biaya', 'admin', 'limid', '1', 'jt', 'buruan', 'unduh', 'gays', 'pokoknya', 'bagus', 'banget', 'appnya']",aplikasi bagus banget simpel login aplikasi mudah paham promo diskon transfer bank mana nomor biaya admin limid 1 jt buru unduh gays pokok bagus banget appnya,-1,Outlier
belum aktif sementara di shopeepaylater sudah 1jt 6jt gopaylater 1jt 8jt aneh penilaian tim mungkin nasabah sengaja dipersulit dan diarahkan agar tidak pakai allopaylater ada musuh dalam selimut di pihak allopaylater,3,2024-02-14 6:06:37,"['aktif', 'shopeepaylater', '1jt', '6jt', 'gopaylater', '1jt', '8jt', 'aneh', 'penilaian', 'tim', 'nasabah', 'sengaja', 'dipersulit', 'diarahkan', 'pakai', 'allopaylater', 'musuh', 'selimut', 'allopaylater']",aktif shopeepaylater 1jt 6jt gopaylater 1jt 8jt aneh nilai tim nasabah sengaja sulit arah pakai allopaylater musuh selimut allopaylater,-1,Outlier
bagus banget aman dilindungi ojk,5,2024-11-15 18:06:51,"['bagus', 'banget', 'aman', 'dilindungi', 'ojk']",bagus banget aman lindung ojk,1_awas ojk_ojk aman_lindung ojk_ojk terpercaya,FAC_1
bank sangat membantu saya gratis admin dan punya yang aman serta dilindungi oleh ojk,5,2024-09-17 5:10:52,"['bank', 'membantu', 'gratis', 'admin', 'aman', 'dilindungi', 'ojk']",bank bantu gratis admin aman lindung ojk,-1,Outlier
sudah mendaftar eh mau ngajukan bahkan di tolak awas saja data pribadi saya di salah gunakan dan kalau bisa data hapus buat apa mendaftar tapi mau mengajukan bahkan di tolak,1,2024-04-20 10:22:40,"['mendaftar', 'eh', 'ngajukan', 'tolak', 'awas', 'data', 'pribadi', 'salah', 'data', 'hapus', 'mendaftar', 'mengajukan', 'tolak']",daftar eh ngajukan tolak awas data pribadi salah data hapus daftar aju tolak,9_data hapus_hapus data_data disalahgunakan_tolak data,FAC_4
